match_date,match,question,our_prob,crowd_prob,outcome,rbp,status,note
2026-06-21,ESP vs KSA,Spain more 2H corners than Saudi,77,75,,,in_play,"provisional YES, +3"
2026-06-21,ESP vs KSA,Spain more SoT than Saudi 2H,72,77,,,in_play,below crowd; if NO +10
2026-06-21,ESP vs KSA,Spain caught offside 2+ times,36,54,YES,-16.47,settled,CONTRARIAN MISS: base-rate said favorite low-offside; vs ultra-deep block Spain played more through-balls and got caught MORE
2026-06-21,ESP vs KSA,BTTS AND 3+ goals,25,33,,,in_play,"Spain 4-0 -> BTTS NO provisional, +7"
2026-06-21,ESP vs KSA,Spain win,88,85,YES,2.54,settled,beat crowd; market-anchored
2026-06-21,ESP vs KSA,Saudi score in 2H,21,28,NO,5.4,settled,beat crowd
2026-06-21,ESP vs KSA,8+ total shots on target,62,65,YES,1.02,settled,beat crowd
2026-06-21,ESP vs KSA,Al-Dawsari score,9,18,NO,5.15,settled,beat crowd; market-anchored
2026-06-21,ESP vs KSA,Saudi caught offside 2+ times,,42,YES,,settled,WE SKIPPED — left points; both teams hit 2+ offsides in a 4-0
2026-06-21,ESP vs KSA,Penalty OR red card,,38,,,pending,WE SKIPPED
2026-06-21,BEL vs IRN,Iran more fouls than Belgium,66,58,YES,8.18,settled,API-Football: Iran 12.7 vs Belgium 8.8 fouls/g; HOLD LOOSELY (thin)
2026-06-21,BEL vs IRN,2+ total cards in 2nd half,82,56,NO,-33.44,settled,referee Herrera 5.6-5.85 cards/g (verified)
2026-06-21,BEL vs IRN,BTTS AND 3+ goals,39,38,NO,1.38,settled,Kalshi BTTS 47.5% - P(1-1)
2026-06-21,BEL vs IRN,Belgium more SoT than Iran 2H,72,66,YES,5.6,settled,FanDuel SoT ladders + each-half validation
2026-06-21,BEL vs IRN,4+ total SoT in 2H,68,63,YES,5.62,settled,FanDuel total-SoT mean 9.3 halved (symmetric; 2H-skew=upside)
2026-06-21,BEL vs IRN,Belgium win,68,69,NO,2.51,settled,Odds API h2h 9 books + Kalshi cross-check
2026-06-21,BEL vs IRN,Belgium winning at halftime,51,50,NO,1.35,settled,Kalshi 1H result de-vig
2026-06-21,BEL vs IRN,Tielemans 1+ SoT,48,43,YES,8.07,settled,FanDuel prop -105 de-vigged
2026-06-21,BEL vs IRN,Taremi score or assist,25,31,NO,5.18,settled,FanDuel Score-or-Assist +280 de-vigged
2026-06-21,BEL vs IRN,9+ total corners,56,52,NO,-2.04,settled,FanDuel corners ladder de-vig (was base-rate 64)
2026-06-21,URU vs CPV,Uruguay caught offside 2+ times,60,,,,pending,"TRIANGULATED: league blowout 41% + Uruguay own record (Copa24 mean 2.3, P>=2 67%; +6 vs Saudi)"
2026-06-21,URU vs CPV,Both teams 1+ SoT in 2H,67,,,,pending,FanDuel SoT each-half (URU 0.95 x CPV 0.75)
2026-06-21,URU vs CPV,Cape Verde more cards than Uruguay,,,,,skipped,thin CPV data; user skipped
2026-06-21,URU vs CPV,Penalty awarded in match,43,,,,pending,SB WC base 0.42; lenient ref Eskas
2026-06-21,URU vs CPV,Uruguay more fouls than Cape Verde,,,,,skipped,thin CPV data; user skipped
2026-06-21,URU vs CPV,Cape Verde 2+ SoT in 2H,41,,,,pending,FanDuel CPV per-half SoT mean 1.40
2026-06-21,URU vs CPV,Uruguay win,68,,,,pending,FanDuel h2h de-vig
2026-06-21,URU vs CPV,Cape Verde score in 2H,25,,,,pending,FanDuel team total x 2H share
2026-06-21,URU vs CPV,Darwin Nunez score or assist,52,,,,pending,FanDuel scorer+assist
2026-06-21,URU vs CPV,Uruguay 6+ SoT,56,,,,pending,"FanDuel Uruguay SoT ladder, mean 6.1"
2026-06-22,NZ vs EGY,Will New Zealand win the match?,19,23,NO,4.09,settled,market h2h de-vig; beat crowd
2026-06-22,NZ vs EGY,Will the match have 2 or fewer total goals?,55,52,NO,-1.54,settled,market under 2.5; below crowd
